id|titulo|precioOld|precioNew|imagen|link
30|Smartphone Motorola Moto G XT1068 2da Generación 8GB 8MP 5'' Dual Sim Desbloqueado - Blanco|999.00|569.00|//media.linio.com.pe/p/motorola-1459-0769921-1-product.jpg|/p/smartphone-motorola-moto-g-xt1068-2da-generacio-n-8gb-8mp-5-dual-sim-desbloqueado-blanco-ylzzje
31|Smartphone Leotec Argon A140B (4.0" WVGA 800X400-DUAL CORE-4GB-512MB-DUALSIM-CAM 2MP-ANDROID 4.2)|399.00|179.00|//media.linio.com.pe/p/leotec-6019-4430431-1-product.jpg|/p/smartphone-leotec-argon-a140b-40-wvga-800x400-dual-core-4gb-512mb-dualsim-cam-2mp-android-42--s1o5xb
32|Smartphone Doogee Leo DG280 Desbloqueado Negro|479.99|289.99|//media.linio.com.pe/p/doogee-5079-9268241-1-product.jpg|/p/smartphone-doogee-leo-dg280-desbloqueado-negro-jt6jwg
33|Smartphone Sony Xperia M4 AQUA E2306 16GB 13MP 4G LTE Desbloqueado - Negro|1699.00|979.00|//media.linio.com.pe/p/sony-3247-6546331-1-product.jpg|/p/smartphone-sony-xperia-m4-aqua-e2306-16gb-13mp-4g-lte-desbloqueado-negro-oq04et
34|Samsung Galaxy A500H/DS Duos 16GB 13MP 5" Desbloqueado-Negro|1899.00|999.00|//media.linio.com.pe/p/samsung-2709-5523141-1-product.jpg|/p/samsung-galaxy-a500h-ds-duos-16gb-13mp-5-desbloqueado-negro-qdjyo0
35|Smartphone Huawei Ascend Y221 Dual Sim Android 4.4 - Negro|349.00|219.00|//media.linio.com.pe/p/huawei-9610-8376331-1-product.jpg|/p/smartphone-huawei-ascend-y221-dual-sim-android-44-negro-lg4alz
36|Motorola Moto G 3ra Generación 4G LTE - Negro|1199.00|989.00|//media.linio.com.pe/p/motorola-5387-6451151-1-product.jpg|/p/motorola-moto-g-3ra-generacio-n-4g-lte-negro-oqm3ap
37|Smartphone iPro Q10 3.5'' Android 4.2.2 Doble chip MicroSD 32GB - Negro.|399.00|259.99|//media.linio.com.pe/p/ipro-1846-399629-1-product.jpg|/p/smartphone-ipro-q10-35-android-422-doble-chip-microsd-32gb-negro-tmasb1
38|Motorola Moto G 3ra Generación XT1540 8GB 13MP 5'' 4G LTE Libre de Fábrica- Negro|1000.00|879.00|//media.linio.com.pe/p/motorola-5206-5197141-1-product.jpg|/p/motorola-moto-g-3ra-generacio-n-xt1540-8gb-13mp-5-4g-lte-libre-de-fa-brica-negro-qfxly2
39|Motorola Moto X 2 XT1097 32GB 13MP 4G LTE Desbloqueado - Negro + REGALO Vidrio Templado|1499.00|1250.00|//media.linio.com.pe/p/motorola-2847-7206711-1-product.jpg|/p/motorola-moto-x-2-xt1097-32gb-13mp-4g-lte-desbloqueado-negro-regalo-vidrio-templado-n487wf
40|Smartphone Samsung Galaxy S5 Mini G800F 16GB 8MP 4G LTE Desbloqueado - Blanco|1579.00|999.00|//media.linio.com.pe/p/samsung-8165-839919-1-product.jpg|/p/smartphone-samsung-galaxy-s5-mini-g800f-16gb-8mp-4g-lte-desbloqueado-blanco-lg6sv9
41|neuimage - Smartphone Phablet aoc Dual Sim 3G NIM-600Q quadcore 1.3ghz 6" - negro|599.00|269.00|//media.linio.com.pe/p/aoc-9446-4612151-1-product.jpg|/p/neuimage-smartphone-phablet-aoc-dual-sim-3g-nim-600q-quadcore-13ghz-6-negro-s0hwc1
42|Smartphone LG G2 Mini Dual Sim D618 8GB 8MP Desbloqueado - negro|1299.00|599.00|//media.linio.com.pe/p/lg-5629-003791-1-product.jpg|/p/smartphone-lg-g2-mini-dual-sim-d618-8gb-8mp-desbloqueado-negro-yq87i1
43|Smartphone LG G3 Stylus D690 Dual Sim 8GB 13MP Desbloqueado - Dorado.|1200.00|769.00|//media.linio.com.pe/p/lg-8640-1253331-1-product.jpg|/p/smartphone-lg-g3-stylus-d690-dual-sim-8gb-13mp-desbloqueado-dorado-x1h803
44|Smartphone Doogee Nova Y100X Blanco|689.99|339.99|//media.linio.com.pe/p/doogee-7989-4958241-1-product.jpg|/p/smartphone-doogee-nova-y100x-blanco-ryp956
