id|origen|titulo|link|precio|moneda|monedaSimbolo|condicion|imagen|preciOld
56|li|Smartphone Samsung Galaxy S4 I9500 16GB 13MP-Blanco|/p/smartphone-samsung-galaxy-s4-i9500-16gb-13mp-blanco-qfbomt|959.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-7156-5240431-1-product.jpg|1599.00
57|li|LG G3 32GB 13MP 4G LTE Desbloqueado - Blanco|/p/lg-g3-32gb-13mp-4g-lte-desbloqueado-blanco-oqkgoj|1199.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-7710-6427811-1-product.jpg|2499.00
58|li|Smartphone Samsung Galaxy S4 Mini Duos I9192 8GB 8MP 4.3'' Desbloqueado - Negro|/p/smartphone-samsung-galaxy-s4-mini-duos-i9192-8gb-8mp-43-desbloqueado-negro-lebzu1|649.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-9377-8626331-1-product.jpg|1699.00
59|li|Sony Xperia M4 Aqua (E2306) 4G 16GB-Negro|/p/sony-xperia-m4-aqua-e2306-4g-16gb-negro-qe5cq8|949.00|Sol|S/.|nuevo|//media.linio.com.pe/p/sony-6648-5425141-1-product.jpg|3000.00
60|li|Smartphone Samsung Galaxy J7 J700M  16GB 13MP 5.5'' Desbloqueado - Dorado|/p/smartphone-samsung-galaxy-j7-j700m-16gb-13mp-55-desbloqueado-dorado-vdy8m8|1027.99|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-9907-2266141-1-product.jpg|1744.99
61|li|Amgoo - Smartphones AM506G Liberado - Negro|/p/amgoo-smartphones-am506g-liberado-negro-jpkmgp|159.00|Sol|S/.|nuevo|//media.linio.com.pe/p/amgoo-1912-9820931-1-product.jpg|269.00
62|li|Smartphone Huawei Y3 Y360 4GB 1.3 Ghz QuadCore 5MP Desbloqueado - Blanco|/p/smartphone-huawei-y3-y360-4gb-13-ghz-quadcore-5mp-desbloqueado-blanco-jp0tia|319.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-1634-9914141-1-product.jpg|450.00
63|li|Blackberry - Curve 9320 Desbloqueado - Negro|/p/blackberry-curve-9320-desbloqueado-negro-ld4fwt|449.00|Sol|S/.|nuevo|//media.linio.com.pe/p/blackberry-2615-8858611-1-product.jpg|799.00
64|li|Smartphone LG G4 H815 32G 4G LTE Desbloqueado - Tapa de cuero Marrón|/p/smartphone-lg-g4-h815-32g-4g-lte-desbloqueado-tapa-de-cuero-marro-n-tr0nax|1779.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-7081-3161031-1-product.jpg|3199.00
65|li|Huawei P8 Lite,Octa Core,13mpx,ram 2gb,Desbloqueado Color Blanco|/p/huawei-p8-lite-octa-core-13mpx-ram-2gb-desbloqueado-color-blanco-yplvh8|979.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-9490-0149341-1-product.jpg|1999.00
66|li|Huawei Y625 Dual Sim 8MP 5' Quad Core 1.2Ghz Android 4.4 KitKat - Negro|/p/huawei-y625-dual-sim-8mp-5-quad-core-12ghz-android-44-kitkat-negro-qe5aew|489.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-5470-5428141-1-product.jpg|699.00
67|li|iPro - Celular Q10 3.5'' Android 4.2.2 3.5" Desbloqueado - Blanco-Negro.|/p/ipro-celular-q10-35-android-422-35-desbloqueado-blanco-negro-jpo4y5|259.99|Sol|S/.|nuevo|//media.linio.com.pe/p/ipro-7793-989629-1-product.jpg|399.00
68|li|Altron - Fitness Watch - Rosado|/p/altron-fitness-watch-rosado-s4197p|69.00|Sol|S/.|nuevo|//media.linio.com.pe/p/altron-4729-4010711-1-product.jpg|199.00
69|li|Altron - Smartphone GI-551 8GB 8MP 3G + Funda de regalo - Negro|/p/altron-smartphone-gi-551-8gb-8mp-3g-funda-de-regalo-negro-orrjk5|369.00|Sol|S/.|nuevo|//media.linio.com.pe/p/altron-7430-6287731-1-product.jpg|499.00
70|li|Huawei P8 Lite OCTACore 5" 16GB 2GbRAM 13MP + 5MPfrontal 4GLte - NEGRO|/p/huawei-p8-lite-octacore-5-16gb-2gbram-13mp-5mpfrontal-4glte-negro-qfazwi|899.00|Sol|S/.|nuevo|//media.linio.com.pe/p/huawei-2828-5292741-1-product.jpg|1299.00
71|li|Smartphone LG L70 Dual D325 4GB 5MP Dual SIM Desbloqueado - Blanco|/p/smartphone-lg-l70-dual-d325-4gb-5mp-dual-sim-desbloqueado-blanco-x2476r|449.00|Sol|S/.|nuevo|//media.linio.com.pe/p/lg-8052-112161-1-product.jpg|999.00
72|li|Samsung Galaxy A5 Duos Dual Chip A500/DS 13MP 16GB Desbloqueado - Blanco|/p/samsung-galaxy-a5-duos-dual-chip-a500-ds-13mp-16gb-desbloqueado-blanco-s0hvk0|999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-9520-4623141-1-product.jpg|1899.00
73|li|Sky - Celular 4.0D 4G 5MP Desbloqueado - Negro|/p/sky-celular-40d-4g-5mp-desbloqueado-negro-tput65|249.00|Sol|S/.|nuevo|//media.linio.com.pe/p/sky-4759-331351-1-product.jpg|399.00
74|li|Apple Iphone 4S 3.5'' 8GB 8MP Desbloqueado - Negro|/p/apple-iphone-4s-35-8gb-8mp-desbloqueado-negro-s3iy99|749.00|Sol|S/.|nuevo|//media.linio.com.pe/p/apple-2509-411429-1-product.jpg|1299.00
75|li|neuimage - Smartphone aoc brickell 500q  Quadcore 1.3ghz 5" - blanco|/p/neuimage-smartphone-aoc-brickell-500q-quadcore-13ghz-5-blanco-qgi3m6|294.99|Sol|S/.|nuevo|//media.linio.com.pe/p/neuimage-1129-5071641-1-product.jpg|380.00
76|li|Smartphone Neuimage AOC Nim-400 Dual Sim 4GB 2MP  - Azul|/p/smartphone-neuimage-aoc-nim-400-dual-sim-4gb-2mp-azul-opf7ch|169.00|Sol|S/.|nuevo|//media.linio.com.pe/p/aoc-9506-6612151-1-product.jpg|400.00
77|li|Motorola Moto G 3ra Generación XT1540 16GB 2GB RAM 13MP 5'' 4G LTE Libre de Fábrica- Blanco|/p/motorola-moto-g-3ra-generacio-n-xt1540-16gb-2gb-ram-13mp-5-4g-lte-libre-de-fa-brica-blanco-n0o40k|1099.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-0090-7803541-1-product.jpg|1599.00
78|li|Motorola - Moto X Play 16GB 21MP 5.5'' Desbloqueado - Negro|/p/motorola-moto-x-play-16gb-21mp-55-desbloqueado-negro-opewho|1619.99|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-6407-6686241-1-product.jpg|2899.99
79|li| 8 en 1 reparación de herramientas de la abertura del kit Kit de reparación Especial Conjunto para el iPhone 3G 3GS 4 4S 5|/p/-8-en-1-reparacio-n-de-herramientas-de-la-abertura-del-kit-kit-de-reparacio-n-especial-conjunto-para-el-iphone-3g-3gs-4-4s-5-qghz0c|12.40|Sol|S/.|nuevo|//media.linio.com.pe/p/yucheer-7976-5047641-1-product.jpg|59.00
80|li|Smartphone Samsung Galaxy Ace 4 SM-G313M 4G LTE 4GB-Blanco|/p/smartphone-samsung-galaxy-ace-4-sm-g313m-4g-lte-4gb-blanco-x0x83h|599.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-6545-135661-1-product.jpg|699.00
81|li|Smartphone Motorola Moto G XT1068 2da Generación 8GB 8MP 5'' Dual Sim Desbloqueado - Blanco|/p/smartphone-motorola-moto-g-xt1068-2da-generacio-n-8gb-8mp-5-dual-sim-desbloqueado-blanco-x095jx|569.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-0735-1499811-1-product.jpg|999.00
82|li|Smartphone Neuimage AOC Nim-400 Dual Sim 4GB 2MP  - Rojo Fuxia|/p/smartphone-neuimage-aoc-nim-400-dual-sim-4gb-2mp-rojo-fuxia-qcyju9|169.00|Sol|S/.|nuevo|//media.linio.com.pe/p/aoc-9446-5612151-1-product.jpg|400.00
83|li|Smartphone Samsung Galaxy S5 SM-G900H 3G 16GB 16MP Desbloqueado - Negro|/p/smartphone-samsung-galaxy-s5-sm-g900h-3g-16gb-16mp-desbloqueado-negro-tqf6y7|1499.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-3866-3232031-1-product.jpg|1800.00
84|li|Samsung Galaxy Grand Prime DUOS G530H Quad Core 8MP 8GB - Negro|/p/samsung-galaxy-grand-prime-duos-g530h-quad-core-8mp-8gb-negro-qfchyx|709.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-0506-5222031-1-product.jpg|1600.00
85|li|Samsung -  Galaxy Grand Prime Duos G530H 8GB 8MP Dual Sim Desbloqueado - Gris|/p/samsung-galaxy-grand-prime-duos-g530h-8gb-8mp-dual-sim-desbloqueado-gris-s2vv73|729.99|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-7081-4271031-1-product.jpg|900.00
86|li|Smartphone Samsung Galaxy Core II Duos GT-SM G355M 4GB 5MP 4.5'' Desbloqueado - Blanco|/p/smartphone-samsung-galaxy-core-ii-duos-gt-sm-g355m-4gb-5mp-45-desbloqueado-blanco-x2o04t|499.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-4313-1047331-1-product.jpg|629.00
87|li|Iphone 5s 16GB Desbloqueado - Dorado.|/p/iphone-5s-16gb-desbloqueado-dorado-tr0dae|3000.00|Sol|S/.|nuevo|//media.linio.com.pe/p/apple-1508-3144121-1-product.jpg|
88|li|Apple iPhone 6s Plus 64GB-Gris Espacial|/p/apple-iphone-6s-plus-64gb-gris-espacial-yofddc|3999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/apple-2083-0362241-1-product.jpg|4800.00
89|li|Motorola Moto G 2da Generación 16GB 8MP - Negro|/p/motorola-moto-g-2da-generacio-n-16gb-8mp-negro-n2fhn8|845.00|Sol|S/.|nuevo|//media.linio.com.pe/p/motorola-1275-7516921-1-product.jpg|1200.00
90|li|Smartphone Samsung Galaxy Ace 4 Neo 4GB 3MP - Negro|/p/smartphone-samsung-galaxy-ace-4-neo-4gb-3mp-negro-tqec3n|499.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-7372-3212431-1-product.jpg|
91|li|Smartphone Samsung Galaxy Grand Prime DUOS G530H Quad Core 8MP 8GB - Negro|/p/smartphone-samsung-galaxy-grand-prime-duos-g530h-quad-core-8mp-8gb-negro-qcwska|649.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-2982-5624921-1-product.jpg|1600.00
92|li|HTC Desire 610 8GB 8MP 4G Desbloqueado - Azul|/p/htc-desire-610-8gb-8mp-4g-desbloqueado-azul-vcr790|629.00|Sol|S/.|nuevo|//media.linio.com.pe/p/htc-7720-2444241-1-product.jpg|820.00
93|li|Samsung Galaxy  J700 Duos 16 GB 13MP 5.5" 4G LTE Desbloqueado Blanco|/p/samsung-galaxy-j700-duos-16-gb-13mp-55-4g-lte-desbloqueado-blanco-yp0wt6|999.00|Sol|S/.|nuevo|//media.linio.com.pe/p/samsung-9106-0297141-1-product.jpg|1294.00
94|li|Leotec Champions C55 DualSIM QuadCore 5.5" 8GB 8MP + 2 Carcasas - Negro|/p/leotec-champions-c55-dualsim-quadcore-55-8gb-8mp-2-carcasas-negro-ym1c5x|436.00|Sol|S/.|nuevo|//media.linio.com.pe/p/leotec-1136-0746331-1-product.jpg|899.00
