marca;modelo
Motorola;Motorola RAZR maxx V6 FC
Motorola;Motorola RAZR V3
Motorola;Motorola RAZR V3 MIC
Motorola;Motorola RAZR V3 PINK
Motorola;Motorola RAZR V3c
Motorola;Motorola RAZR V3i
Motorola;Motorola RAZR V3x
Motorola;Motorola RAZR V3xx
Motorola;Motorola RAZR V Canada
Motorola;Motorola RAZR V MT887
Motorola;Motorola RAZR V XT889
Motorola;Motorola Red MotoSLVR
Motorola;Motorola RIZR Z3
Motorola;Motorola RIZR Z6c
Motorola;Motorola RIZR Z8
Motorola;Motorola RIZR Z8 Ferrari
Motorola;Motorola ROKR E1
Motorola;Motorola ROKR E2
Motorola;Motorola ROKR E6
Motorola;Motorola ROKR E7
Motorola;Motorola ROKR E8
Motorola;Motorola ROKR EM25
Motorola;Motorola ROKR EM30
Motorola;Motorola ROKR EM330
Motorola;Motorola ROKR U9
Motorola;Motorola ROKR W5
Motorola;Motorola ROKR W6
Motorola;Motorola ROKR Z6
Motorola;Motorola ROKR ZN50
Motorola;Motorola Sawgrass
Motorola;Motorola Shadow
Motorola;Motorola Sidekick Slide
Motorola;Motorola Sidekick Slide Scarlet
Motorola;Motorola SLVR L7
Motorola;Motorola SLVR L7e
Motorola;Motorola SLVR L9
Motorola;Motorola Spice
Motorola;Motorola Startac
Motorola;Motorola T180
Motorola;Motorola T190
Motorola;Motorola T191
Motorola;Motorola T192
Motorola;Motorola T205
Motorola;Motorola T250
Motorola;Motorola T260GPRS
Motorola;Motorola T280
Motorola;Motorola T280i
Motorola;Motorola T720
Motorola;Motorola T720i
Motorola;Motorola T722i
Motorola;Motorola T725
Motorola;Motorola T2288 Shark
Motorola;Motorola Talkabout 192
Motorola;Motorola TC55
Motorola;Motorola Theory
Motorola;Motorola Timeport 260
Motorola;Motorola Timeport L7089
Motorola;Motorola Timeport P7389
Motorola;Motorola Triumph
Motorola;Motorola V3x
Motorola;Motorola V6
Motorola;Motorola V8 SLVR
Motorola;Motorola V50
Motorola;Motorola V50L
Motorola;Motorola V51
Motorola;Motorola V60
Motorola;Motorola V60i
Motorola;Motorola V60t Color
Motorola;Motorola V66
Motorola;Motorola V66i
Motorola;Motorola V70
Motorola;Motorola V80
Motorola;Motorola V100
Motorola;Motorola V150
Motorola;Motorola V170
Motorola;Motorola V171
Motorola;Motorola V176
Motorola;Motorola V177
Motorola;Motorola V180
Motorola;Motorola V186
Motorola;Motorola V188
Motorola;Motorola V195
Motorola;Motorola V220
Motorola;Motorola V226
Motorola;Motorola V230
Motorola;Motorola V235
Motorola;Motorola V270
Motorola;Motorola V280
Motorola;Motorola V290
Motorola;Motorola V295
Motorola;Motorola V300
Motorola;Motorola V303
Motorola;Motorola V360
Motorola;Motorola V400
Motorola;Motorola V400p
Motorola;Motorola V500
Motorola;Motorola V501
Motorola;Motorola V525
Motorola;Motorola V535
Motorola;Motorola V545
Motorola;Motorola V547
Motorola;Motorola V550
Motorola;Motorola V551
Motorola;Motorola V555
Motorola;Motorola V557
Motorola;Motorola V560
Motorola;Motorola V600
Motorola;Motorola V620
Motorola;Motorola V635
Motorola;Motorola V690
Motorola;Motorola V750
Motorola;Motorola V872
Motorola;Motorola V878
Motorola;Motorola V975
Motorola;Motorola V980
Motorola;Motorola V1000
Motorola;Motorola V1050
Motorola;Motorola V1075
Motorola;Motorola V1100
Motorola;Motorola V1150
Motorola;Motorola V2288
Motorola;Motorola V3670
Motorola;Motorola V3688
Motorola;Motorola V3690
Motorola;Motorola VA76r Tundra
Motorola;Motorola VE66
Motorola;Motorola VE70 Cocktail
Motorola;Motorola VE75
Motorola;Motorola VE538
Motorola;Motorola W7
Motorola;Motorola W156
Motorola;Motorola W160
Motorola;Motorola W161
Motorola;Motorola W175
Motorola;Motorola W180
Motorola;Motorola W181
Motorola;Motorola W200
Motorola;Motorola W205
Motorola;Motorola W206
Motorola;Motorola W208
Motorola;Motorola W209
Motorola;Motorola W213
Motorola;Motorola W215
Motorola;Motorola W218
Motorola;Motorola W220
Motorola;Motorola W230
Motorola;Motorola W231
Motorola;Motorola W233 Renew
Motorola;Motorola W260g
Motorola;Motorola W265
Motorola;Motorola W270
Motorola;Motorola W360
Motorola;Motorola W370
Motorola;Motorola W375
Motorola;Motorola W376g
Motorola;Motorola W377
Motorola;Motorola W380
Motorola;Motorola W388
Motorola;Motorola W395
Motorola;Motorola W396
Motorola;Motorola W403
Motorola;Motorola W409g
Motorola;Motorola W450
Motorola;Motorola W490
Motorola;Motorola W510
Motorola;Motorola W760r
Motorola;Motorola Wilder
Motorola;Motorola WX160
Motorola;Motorola WX161
Motorola;Motorola WX180
Motorola;Motorola WX181
Motorola;Motorola WX260
Motorola;Motorola WX265
Motorola;Motorola WX280
Motorola;Motorola WX288
Motorola;Motorola WX290
Motorola;Motorola WX294
Motorola;Motorola WX295
Motorola;Motorola WX306
Motorola;Motorola WX390
Motorola;Motorola WX395
Motorola;Motorola Xoom
Motorola;Motorola Xoom 2
Motorola;Motorola Xoom 2 Media Edition
Motorola;Motorola Xoom Wi-Fi
Motorola;Motorola XPRT
Motorola;Motorola XT311 DominoQ
Motorola;Motorola XT316
Motorola;Motorola XT321
Motorola;Motorola XT390
Motorola;Motorola XT531
Motorola;Motorola XT532
Motorola;Motorola XT615
Motorola;Motorola XT685
Motorola;Motorola XT701
Motorola;Motorola XT720 Milestone
Motorola;Motorola XT760
Motorola;Motorola XT788
Motorola;Motorola XT800
Motorola;Motorola XT800W
Motorola;Motorola XT806
Motorola;Motorola XT862
Motorola;Motorola XT882
Motorola;Motorola XT883 Milestone
Motorola;Motorola XT885
Motorola;Motorola XT928
Motorola;Motorola Z6w
Motorola;Motorola Z9
Motorola;Motorola Z10
Motorola;Motorola ZN5
Motorola;Motorola ZN200
Motorola;Motorola ZN300
Samsung;Samsung Ace La Fleur
Samsung;Samsung AMOLED Beam
Samsung;Samsung Array
Samsung;Samsung ATIV Odyssey
Samsung;Samsung ATIV S
Samsung;Samsung ATIV SE
Samsung;Samsung ATIV S Neo
Samsung;Samsung ATIV Tab
Samsung;Samsung Aviator
Samsung;Samsung Beyonce
Samsung;Samsung Blackjack
Samsung;Samsung Blackjack II
Samsung;Samsung Brightside
Samsung;Samsung Captivate Glide
Samsung;Samsung Ch@t 222
